Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Make_Model
20001211X12867,Accident,CHI93LA287,1993-07-27,"NEOSHO, MO",United States,,,EDS,NEOSHO MEMORIAL AIRPORT,Non-Fatal,Substantial,,N761DD,Cessna,T210M,No,1.0,Reciprocating,,NSCH,Unknown,Hunt Air Couriers (dba: Hunt Air Couriers),0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,20-10-1994,Cessna T210M
20001211X13195,Incident,MIA93IA168,1993-08-02,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Incident,Minor,,N107BV,Boeing,707-341,No,4.0,Turbo Fan,,NSCH,Unknown,Fast Air Carrier Ltd,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,01-08-1994,Boeing 707-341
20001211X13031,Accident,ANC93LA141,1993-08-09,"BERNARD GLACIER, AK",United States,,,,REMOTE STRIP,Non-Fatal,Substantial,,N1200A,Piper,PA-18,No,1.0,Reciprocating,,NSCH,Unknown,(dba: Wrangell Mountain Avn),0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,02-12-1994,Piper PA-18
20001211X13268,Accident,SEA93LA176,1993-08-12,"STIBNITE, ID",United States,,,,PISTOL CREEK,Non-Fatal,Substantial,,N2690Z,Cessna,185C,No,1.0,Reciprocating,,NSCH,Unknown,Pere Air (dba: Pere Air),0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,26-09-1994,Cessna 185C
20001211X13274,Accident,SEA93LA184,1993-08-25,"CHALLIS, ID",United States,,,,LOWER LOON CREEK AIRSTRIP,Non-Fatal,Substantial,,N3431L,Cessna,206B,No,1.0,Reciprocating,,NSCH,Unknown,(dba: Stanley Air Taxi),0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,01-08-1994,Cessna 206B
20001211X13044,Accident,ANC93LA158,1993-08-27,"MOUNT ILIAMNA, AK",United States,,,,,Non-Fatal,Substantial,,N5074R,Hughes,369D,No,1.0,Turbo Shaft,,NSCH,Unknown,"Soloy Helicopters, Inc.",0.0,0.0,0.0,5.0,VMC,Maneuvering,Probable Cause,30-06-1994,Hughes 369D
20001211X13121,Accident,CHI93LA341,1993-08-28,"ST LOUIS, MO",United States,,,STL,ST. LOUIS LAMBERT,Non-Fatal,Substantial,,N2623C,Cessna,R182,No,1.0,Reciprocating,,NSCH,Unknown,St. Charles Flying Service,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-07-1994,Cessna R182
20001211X13325,Incident,BFO93IA176,1993-09-15,"TOLEDO, OH",United States,,,,,Incident,Minor,,N870BX,Douglas,DC-8-63,No,4.0,Turbo Jet,,SCHD,Unknown,American International (dba: Connie Kalitta Services),0.0,0.0,0.0,7.0,IMC,Approach,Probable Cause,02-12-1994,Douglas DC-8-63
20001211X13296,Accident,ANC93LA184,1993-09-17,"KETCHIKAN, AK",United States,,,5KE,KETCHIKAN SPB,Non-Fatal,Substantial,,N84627,Cessna,185,No,1.0,Reciprocating,,NSCH,Unknown,"Ketchikan Air Service, Inc. (dba: Ketchikan Air Service)",0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,30-06-1994,Cessna 185
20001211X13384,Accident,CHI93LA371,1993-09-21,"LONE ROCK, WI",United States,,,LNR,TRI-COUNTY REGIONAL,Non-Fatal,Substantial,,N9825Q,Piper,PA-60-601,No,2.0,Reciprocating,,NSCH,Unknown,(dba: Starcheck),0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,25-07-1994,Piper PA-60-601
20001211X13284,Incident,ANC93IA188,1993-09-25,"ANCHORAGE, AK",United States,,,ANC,ANCHORAGE,Incident,Minor,,N629US,Boeing,747-200,No,4.0,Turbo Fan,,SCHD,Unknown,"Northwest Airlines, Inc",0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,02-12-1994,Boeing 747-200
20001211X13558,Accident,FTW94LA003,1993-10-01,"DFW AIRPORT, TX",United States,,,DFW,DFW INTERNATIONAL,Non-Fatal,Substantial,,N9762B,Cessna,208B,No,1.0,Turbo Prop,,NSCH,Unknown,"Martinaire, Inc.",0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,01-08-1994,Cessna 208B
